product_id,review_text
1,"Battery life is amazing and the phone works very well."
1,"The camera quality is good for the price."
1,"I am happy with the performance of this phone."
2,"The sound quality is excellent."
2,"Noise cancellation is amazing."
2,"The headphones are slightly expensive."
3,"The display is beautiful and bright."
3,"The camera quality is good."
3,"Battery life could be better."
4,"The camera takes excellent photos."
4,"The phone performance is very fast."
4,"The battery life is average."
5,"The battery lasts a long time."
5,"Performance is good for gaming."
5,"The camera quality is disappointing."
